objID,ra,dec,r,u,g,i,z,u_r,g_r,g_i,r_i,r_z,photoz,radmpc,vel
1237651754560454886,210.304493463119,2.7728549196657,19.34551,23.26191,20.82587,18.84348,18.4801,3.916397,1.48036,1.982389,0.5020294,0.8654118,0.259103,1.63397236452172,67875.2646965724
1237651754560454941,210.255925068769,2.86167192164873,19.80612,25.69235,21.26753,19.27443,18.97482,5.886229,1.461405,1.993099,0.5316944,0.8312988,0.289801,0.241518021994206,74688.1153484818
1237651754560454953,210.278242691643,2.87213461605453,17.90384,21.18399,19.42751,17.37906,17.09457,3.280153,1.523674,2.048458,0.5247841,0.8092651,0.257282,0.292077520999809,67463.4683375772
1237651754560454954,210.279557122637,2.87035905772123,20.01473,24.84725,21.41946,19.46646,19.26915,4.832525,1.404732,1.952999,0.5482674,0.7455826,0.29128,0.318088846777613,75010.2768028915
1237651754560454960,210.277011389835,2.78838476677027,19.5561,21.8723,20.40989,20.28863,21.40391,2.316202,0.8537941,0.1212578,-0.7325363,-1.847816,0.240827,1.30492327962529,63703.0170312966
1237651754560454972,210.308175073527,2.85247088734344,18.3173,21.13372,19.71254,17.73347,17.31096,2.816412,1.395239,1.979073,0.5838337,1.006348,0.281111,0.79328327909819,72784.0489577057
1237651754560454975,210.308298031721,2.761292279895,19.14342,22.2289,20.58028,18.58456,18.27312,3.085482,1.436859,1.995714,0.5588551,0.8703022,0.270241,1.80607366250355,70375.1614004748
1237651754560454986,210.317276247965,2.75365291715878,17.70881,21.28501,19.15039,17.1888,16.86668,3.576206,1.441587,1.961592,0.5200043,0.8421268,0.237039,1.95698039828224,62827.2318018166
1237651754560454996,210.362329582396,2.87870800599185,18.20298,20.51818,19.26209,17.76409,17.37768,2.315195,1.059109,1.498003,0.4388943,0.8253021,0.250568,1.4699153750915,65937.7270875135
1237651754560454997,210.360370592803,2.87997014724049,19.17044,22.72174,20.66056,18.62855,18.30023,3.5513,1.49012,2.032009,0.5418892,0.870203,0.283108,1.44229709371087,73223.311219191
1237651754560455001,210.368412438019,2.81574021584827,18.20869,21.2058,19.523,17.69761,17.37679,2.997108,1.314304,1.825388,0.5110836,0.8319035,0.228977,1.792902439486,60950.5815581714
1237651754560455002,210.367282598787,2.82081972718764,19.23619,20.84501,20.10243,18.81987,18.57254,1.608824,0.8662453,1.282564,0.4163189,0.6636486,0.265602,1.74404737880453,69337.8471124261
1237651754560455003,210.371237792346,2.81755823777305,18.86255,21.67514,20.08151,18.40093,18.02286,2.812584,1.218958,1.68058,0.4616222,0.8396969,0.218932,1.81534404759619,58587.9968020047
1237651754560455007,210.383666010916,2.8332209292837,18.51373,21.88532,19.975,18.04531,17.67232,3.371592,1.461279,1.929695,0.4684162,0.8414097,0.23852,1.88519328120139,63170.1057681579
1237651754560455022,210.255709519227,2.8498886179651,20.00759,22.00176,21.02872,19.90398,19.87237,1.994171,1.021132,1.124737,0.1036053,0.1352234,0.269767,0.407805293565727,70269.4326035086
1237651754560455028,210.263848565762,2.76327942571773,19.52439,21.61407,20.42447,19.20999,18.9905,2.08968,0.9000702,1.214474,0.3144035,0.5338974,0.262753,1.63668006264285,68698.0356028285
1237651754560455036,210.275979358979,2.81631187835331,19.23129,21.09535,20.0217,18.89027,18.7587,1.864052,0.7904091,1.131435,0.3410263,0.4725914,0.214714,0.915874474730157,57587.8142464563
1237651754560455038,210.279792362949,2.8288263465436,20.34293,22.02688,20.96509,19.99994,19.62579,1.683943,0.6221561,0.9651451,0.342989,0.717144,0.226217,0.765792340061902,60304.141092063
1237651754560455049,210.311815825761,2.83622337781829,21.70786,24.64176,24.62879,21.09593,21.17353,2.933901,2.920937,3.53286,0.6119232,0.5343285,0.250673,0.963249880603248,65961.6844326977
1237651754560455083,210.35511996875,2.84462016471292,19.27927,21.07944,20.05802,18.98656,18.69704,1.800177,0.7787552,1.071463,0.2927074,0.5822258,0.257553,1.44966382196254,67524.7965750997
1237651754560455100,210.391097032887,2.83786765724642,19.98786,21.46737,20.69791,19.59937,19.23863,1.479511,0.7100506,1.098539,0.3884888,0.7492218,0.271609,1.9642032602508,70680.0033501061
1237651754560455145,210.256180627964,2.80666616320292,19.59307,22.21935,20.7713,19.2165,18.80056,2.626286,1.178236,1.554804,0.3765678,0.792511,0.298348,1.01977890507402,76542.182793637
1237651754560455157,210.259760100316,2.8240908728176,20.00435,23.65516,21.37511,19.46833,19.13601,3.650814,1.370756,1.906773,0.5360165,0.8683395,0.286822,0.772019940158855,74037.5399690722
1237651754560455161,210.261615469306,2.79901404724942,19.80402,23.81983,21.17149,19.24667,18.85144,4.01581,1.367468,1.92482,0.5573521,0.9525833,0.289096,1.12858532776806,74534.3568921205
1237651754560455168,210.260717685764,2.83959961412403,19.67022,23.51443,21.15952,19.1616,18.85619,3.844219,1.4893,1.997917,0.5086174,0.8140221,0.295745,0.552511391629899,75979.4847659655
1237651754560455192,210.267981296098,2.81608854180844,19.55368,25.75953,20.94518,19.06951,18.77502,6.205841,1.391495,1.875671,0.4841766,0.7786655,0.267849,0.895289687166865,69840.9789813678
1237651754560455195,210.267346080238,2.78570785677787,20.84982,23.5359,22.88172,20.45438,20.60145,2.686075,2.031902,2.427347,0.3954449,0.2483673,0.273268,1.32243678569087,71049.0132198551
1237651754560455211,210.271108910984,2.88141347155714,19.02398,21.76378,20.35912,18.56703,18.35345,2.739803,1.33514,1.792091,0.4569511,0.6705303,0.281987,0.181630513095728,72976.8496703927
1237651754560455224,210.273176658238,2.87499437950778,19.80895,22.8765,21.13363,19.34329,18.93632,3.067545,1.32468,1.790337,0.4656563,0.8726349,0.280992,0.211895887802156,72757.847796082
1237651754560455247,210.276963257579,2.86355167419495,19.57859,22.23129,20.90034,19.0871,18.7186,2.652691,1.321741,1.813232,0.4914913,0.8599911,0.294309,0.335127189857624,75668.3239039461
1237651754560455264,210.28033874609,2.8607454183957,19.43473,21.71356,20.43005,19.14899,18.85522,2.278833,0.9953232,1.281065,0.2857418,0.5795097,0.296834,0.397385072394532,76215.1052366446
1237651754560455278,210.285694075534,2.81392757358318,18.47044,21.24172,19.78453,17.95849,17.64133,2.77128,1.314083,1.826036,0.5119534,0.8291149,0.250211,0.993157546052606,65856.2613239643
1237651754560455292,210.288673255624,2.81838890253468,19.66461,23.1454,21.09721,19.15786,18.80527,3.480791,1.432602,1.939344,0.5067425,0.8593388,0.271665,0.953166877597638,70692.4513393131
1237651754560455305,210.292988116968,2.88776530444734,21.43857,23.23833,22.07689,21.32522,20.91895,1.799757,0.6383228,0.7516689,0.1133461,0.519619,0.277145,0.504478138484709,71908.6650897855
1237651754560455321,210.296902490338,2.87883934268197,19.76799,22.84934,21.18802,19.22757,18.91879,3.081352,1.420031,1.960447,0.5404167,0.849205,0.282747,0.542437307727807,73143.9878873631
1237651754560455330,210.299516906636,2.87612646756331,20.88371,22.61525,21.46564,20.77652,20.30161,1.731531,0.5819302,0.689127,0.1071968,0.5821056,0.22328,0.580428785096622,59613.964525991
